1705619579.1622715,"[0.3606292  0.12995863 0.00068072 0.00302666 0.01775575 0.38834062
 0.09246729 0.00714108]"
1705619579.2022805,"[0.49748924 0.07619625 0.00231812 0.00570567 0.01183185 0.309139
 0.08832958 0.00899027]"
1705619579.2422893,"[0.50363374 0.09284814 0.00446995 0.00947901 0.01081888 0.28942746
 0.07610843 0.01321439]"
1705619579.2832985,"[0.3487156  0.12009442 0.00181445 0.00909206 0.02077245 0.40053552
 0.08387342 0.01510205]"
1705619579.3233082,"[0.5138648  0.08773237 0.00257907 0.00523835 0.01410319 0.2907251
 0.0768576  0.00889948]"
1705619579.3643167,"[0.4028594  0.10323392 0.00272056 0.01507389 0.01646193 0.32930884
 0.11170306 0.01863841]"
1705619579.4113276,"[0.5043609  0.07106706 0.00284617 0.00996545 0.00976416 0.29439402
 0.09590017 0.01170209]"
1705619579.4513366,"[0.33565012 0.18776576 0.00177981 0.00502516 0.02675655 0.36137313
 0.06872888 0.01292052]"
1705619579.4913461,"[0.35625    0.08871014 0.00114394 0.00782889 0.01500109 0.4100513
 0.10677552 0.0142392 ]"
1705619579.5313547,"[0.35441092 0.11239445 0.00136668 0.0087597  0.01757381 0.38152507
 0.10464359 0.01932576]"
1705619579.5683627,"[0.32420892 0.08327195 0.00257243 0.01368687 0.01576105 0.41036472
 0.12824576 0.02188835]"
1705619579.6083724,"[0.3671857  0.07278504 0.00192282 0.01673333 0.01368066 0.33998555
 0.16018501 0.02752187]"
1705619579.646381,"[0.30102694 0.0813922  0.00114355 0.0130738  0.01770744 0.4229825
 0.13791633 0.02475726]"
1705619579.6853895,"[0.4189302  0.04751279 0.00175981 0.01608035 0.00992929 0.29244566
 0.19841547 0.01492642]"
1705619579.7233984,"[0.2658462  0.09817307 0.00102156 0.00836577 0.03188601 0.42024526
 0.15724826 0.01721389]"
1705619579.7614067,"[0.28598985 0.06200742 0.00063684 0.00694171 0.0146128  0.48267925
 0.1327907  0.01434139]"
1705619579.7994165,"[0.27995795 0.04152827 0.00143874 0.01670001 0.01010014 0.39646757
 0.22885095 0.02495637]"
1705619579.8365293,"[0.2965111  0.05230901 0.00153139 0.01418607 0.01122771 0.38348472
 0.21974891 0.02100102]"
1705619579.8845406,"[0.19717771 0.10404514 0.00133608 0.01341191 0.02846655 0.45866627
 0.17492227 0.02197408]"
1705619579.9235487,"[0.3128297  0.08399823 0.00220889 0.0141088  0.01351281 0.41341123
 0.1369418  0.02298854]"
1705619579.9655588,"[0.2698379  0.07157784 0.00280669 0.01514499 0.01664652 0.44643897
 0.1556633  0.0218838 ]"
1705619580.0045674,"[0.25314042 0.08573486 0.00294158 0.0254171  0.01862894 0.3820331
 0.19044228 0.04166167]"
1705619580.046577,"[0.36623585 0.07820934 0.00181029 0.01477174 0.01428238 0.3690874
 0.1333465  0.02225649]"
1705619580.0875866,"[0.22830407 0.10087178 0.00535318 0.03231101 0.02169481 0.43345279
 0.13193163 0.04608063]"
1705619580.125595,"[0.22676668 0.08485227 0.00191183 0.01910741 0.01812864 0.42793453
 0.19055997 0.03073867]"
1705619580.164605,"[0.22006363 0.06625687 0.0027673  0.02418161 0.01876101 0.44587395
 0.18615468 0.035941  ]"
1705619580.2046125,"[0.25894615 0.07108799 0.00158689 0.01398687 0.02122559 0.42085996
 0.19126058 0.02104604]"
1705619580.2426214,"[0.31636465 0.05477992 0.00063298 0.00857039 0.01125259 0.39750615
 0.19648185 0.01441155]"
1705619580.2826304,"[0.33810377 0.0518778  0.00117076 0.0097169  0.01340379 0.4052787
 0.16393983 0.01650843]"
1705619580.3226402,"[0.27411833 0.05443894 0.00134861 0.02130471 0.02083118 0.38968095
 0.21695301 0.0213243 ]"
1705619580.36865,"[0.27662516 0.07061283 0.0013592  0.02238711 0.01745591 0.3876811
 0.20088899 0.02298978]"
1705619580.406659,"[0.3180679  0.04937664 0.00134605 0.01707072 0.01314311 0.39066896
 0.19276193 0.0175647 ]"
1705619580.444667,"[0.33180028 0.04518671 0.00144606 0.01388024 0.01032169 0.4039147
 0.17543651 0.01801378]"
1705619580.4846766,"[0.3253376  0.03847692 0.00119845 0.02042928 0.01089396 0.3642844
 0.21631475 0.02306464]"
1705619580.5266855,"[0.2821001  0.05190428 0.00141609 0.01240584 0.01138333 0.38601005
 0.2375176  0.0172627 ]"
1705619580.5656948,"[0.27987355 0.0664687  0.00120357 0.01542552 0.01348895 0.42093688
 0.1821717  0.02043111]"
1705619580.6063614,"[0.21779305 0.11165717 0.00261947 0.01349808 0.02284771 0.4624483
 0.13890843 0.03022785]"
1705619580.6453698,"[0.3525948  0.12245006 0.00242979 0.01484907 0.01888233 0.3236307
 0.14450775 0.02065554]"
1705619580.6863794,"[0.3459464  0.0913915  0.00287034 0.01926754 0.01485427 0.38309467
 0.12291814 0.01965713]"
1705619580.7263885,"[0.34414127 0.09812837 0.00166896 0.01144302 0.01621103 0.40649027
 0.10429806 0.01761901]"
1705619580.7653978,"[0.2397126  0.14664486 0.00260314 0.01159811 0.03100328 0.40597716
 0.14574993 0.01671091]"
1705619580.805406,"[0.41490605 0.06600981 0.00183732 0.014752   0.00868703 0.32267293
 0.15308353 0.01805137]"
1705619580.8434145,"[0.23958965 0.07778396 0.00223723 0.02174011 0.01860353 0.3801962
 0.2315386  0.02831073]"
1705619580.8834245,"[0.23540397 0.10329844 0.00130418 0.01853481 0.02276911 0.4184231
 0.1742199  0.02604645]"
1705619580.9264338,"[0.26571044 0.05650393 0.00121139 0.0118277  0.01369586 0.40901396
 0.22597575 0.01606101]"
1705619580.9654427,"[0.23311159 0.05005611 0.00155292 0.02143791 0.01102249 0.43818447
 0.21777122 0.02686328]"
1705619581.0044513,"[0.32675558 0.07062647 0.00085325 0.01282542 0.01708271 0.38227037
 0.16867822 0.02090803]"
1705619581.0414596,"[0.32748199 0.0300238  0.00088252 0.01153752 0.00945993 0.3222713
 0.28431275 0.01403019]"
1705619581.080469,"[0.2592734  0.05900397 0.00131371 0.01953962 0.01979887 0.38034645
 0.24037747 0.02034653]"
1705619581.13248,"[0.28417408 0.02958822 0.00078839 0.01569126 0.01080461 0.3891965
 0.255533   0.0142239 ]"
1705619581.169489,"[0.20237015 0.1025057  0.00121023 0.01717003 0.03726251 0.44438136
 0.16906618 0.02603395]"
1705619581.207497,"[0.3125149  0.02080405 0.0013887  0.01788713 0.00862987 0.40085495
 0.22140186 0.01651847]"
1705619581.2445066,"[0.34741193 0.04839484 0.00104622 0.01729584 0.01282093 0.38326177
 0.16748808 0.02228041]"
1705619581.281514,"[0.2687727  0.06409452 0.0020115  0.01439003 0.0239343  0.471013
 0.13660923 0.01917467]"
1705619581.3205235,"[0.30981126 0.0631822  0.001463   0.01436553 0.01494751 0.4363669
 0.1420498  0.01781388]"
1705619581.3595319,"[0.42505747 0.04105746 0.00158156 0.01432655 0.01137258 0.3309153
 0.16253218 0.0131569 ]"
1705619581.39754,"[0.3406724  0.05168544 0.00250458 0.0176647  0.01162052 0.37266114
 0.18195738 0.02123385]"
1705619581.4375496,"[0.38519442 0.05818478 0.00153214 0.00840792 0.01457604 0.38130257
 0.13106659 0.01973547]"
1705619581.474558,"[0.38343143 0.05636071 0.00153919 0.01044271 0.0120133  0.39080104
 0.12793484 0.01747672]"
1705619581.514567,"[0.33805716 0.05093653 0.00127216 0.01167341 0.01252227 0.40424237
 0.16905533 0.01224082]"
1705619581.5535758,"[0.29328033 0.07500074 0.00181754 0.01702737 0.0211304  0.42508945
 0.14274377 0.02391039]"
1705619581.5925853,"[0.26946163 0.05568771 0.00142574 0.02533922 0.01131225 0.40825352
 0.19625919 0.03226069]"
1705619581.6305933,"[0.3271731  0.09966092 0.00142607 0.01059269 0.02284069 0.38425803
 0.13643415 0.01761434]"
1705619581.6726027,"[0.38809606 0.03804417 0.00184281 0.01903513 0.00965425 0.35403845
 0.17387424 0.01541482]"
1705619581.7106123,"[0.3004727  0.07544127 0.00127959 0.01451631 0.01958666 0.41136813
 0.15383537 0.02349993]"
1705619581.7496212,"[0.2705434  0.05701925 0.00243651 0.01875407 0.0176874  0.4346784
 0.1761747  0.02270633]"
1705619581.7876868,"[0.29669088 0.04913753 0.00146684 0.01998931 0.01402122 0.38242918
 0.21337567 0.02288934]"
1705619581.8296964,"[0.28054807 0.04695    0.00191275 0.03086367 0.01468362 0.37521031
 0.22338416 0.02644742]"
1705619581.8707054,"[0.21394888 0.05426255 0.00110448 0.02296729 0.01518482 0.41449648
 0.25785393 0.02018156]"
1705619581.9097142,"[0.23626849 0.07183859 0.00124268 0.02307115 0.02231688 0.4286951
 0.19140953 0.02515756]"
1705619581.9517245,"[0.2724461  0.04235784 0.00115404 0.02868118 0.01549295 0.37357104
 0.24133994 0.02495686]"
1705619581.9927332,"[0.32205468 0.02524317 0.003137   0.02651299 0.00866001 0.37217727
 0.22525635 0.01695845]"
1705619582.030743,"[0.3185196  0.04277302 0.00162393 0.01425396 0.00984502 0.3837764
 0.21293518 0.0162729 ]"
1705619582.070751,"[0.32103664 0.03612205 0.00196335 0.02833003 0.01351324 0.3681914
 0.20606667 0.02477661]"
1705619582.1107597,"[0.35170594 0.1111138  0.00179385 0.00986106 0.03433053 0.37455866
 0.0998701  0.016766  ]"
1705619582.1487696,"[0.40573427 0.07091827 0.00122206 0.01321703 0.0112619  0.36398274
 0.1150191  0.01864474]"
1705619582.188778,"[0.448753   0.05475788 0.00196576 0.01441588 0.0107743  0.29297808
 0.15737075 0.01898434]"
1705619582.2287867,"[0.41072187 0.0505344  0.00233501 0.01415034 0.01128286 0.37053424
 0.12034868 0.02009255]"
1705619582.2687955,"[0.45657367 0.05309106 0.00129304 0.01128896 0.01050065 0.32987773
 0.12427153 0.01310341]"
1705619582.3098052,"[0.33529684 0.07155398 0.00162085 0.01677447 0.01906172 0.41639084
 0.10757591 0.03172552]"
1705619582.3498142,"[0.26049346 0.04282834 0.0012373  0.02273063 0.01102899 0.40633422
 0.23236525 0.02298183]"
1705619582.3898232,"[0.28675163 0.04922096 0.00243749 0.02101349 0.01246265 0.37803605
 0.23240173 0.01767595]"
1705619582.428832,"[0.27708125 0.06119466 0.00167599 0.01731118 0.02055479 0.41111422
 0.190719   0.02034888]"
1705619582.468841,"[0.2437888  0.05169427 0.00194716 0.0192148  0.01943842 0.468376
 0.17043054 0.02510996]"
1705619582.5058496,"[0.26966673 0.05167718 0.00079081 0.01583535 0.01926473 0.38853773
 0.23948498 0.01474251]"
1705619582.5448587,"[0.33568957 0.02088341 0.00372806 0.03345648 0.00719947 0.23389933
 0.3506151  0.01452852]"
1705619582.5858672,"[0.20431468 0.07653917 0.00102428 0.0199796  0.0333277  0.44821915
 0.1915133  0.02508206]"
1705619582.6258764,"[0.33262178 0.05630706 0.00063856 0.0094132  0.01660972 0.4237554
 0.14165837 0.01899588]"
1705619582.663885,"[0.3256551  0.052306   0.00214182 0.0203762  0.01351086 0.37031186
 0.1885205  0.02717764]"
1705619582.7008936,"[0.24789222 0.05534124 0.00293422 0.02283461 0.02176964 0.41353688
 0.21369717 0.02199401]"
1705619582.7399023,"[0.32195744 0.05516567 0.00180059 0.01187509 0.01275807 0.4289545
 0.14915772 0.0183309 ]"
1705619582.777912,"[0.3877296  0.03374854 0.00191095 0.01358726 0.00769023 0.36309043
 0.1769865  0.01525649]"
1705619582.8159196,"[0.37275553 0.04154956 0.00173011 0.01114113 0.01056856 0.38239628
 0.16491881 0.01494   ]"
1705619582.8579292,"[0.384371   0.07292788 0.00370468 0.02401007 0.01644152 0.30953944
 0.1640149  0.02499047]"
1705619582.8989384,"[0.32280025 0.03675332 0.00119863 0.01596621 0.00829933 0.42054066
 0.17554772 0.01889391]"
1705619582.9379473,"[0.27995753 0.05355919 0.00118379 0.01445968 0.01651717 0.41782993
 0.19728236 0.01921037]"
1705619582.980958,"[0.35080987 0.04834492 0.00258176 0.03103432 0.01060727 0.31849673
 0.21398954 0.02413554]"
1705619583.0189655,"[0.27760822 0.04717123 0.0028352  0.02365911 0.01455787 0.37238944
 0.23995034 0.02182854]"
1705619583.0579746,"[0.38824633 0.0444241  0.00177682 0.01747454 0.00892207 0.32503304
 0.19554456 0.01857854]"
1705619583.098984,"[0.42454618 0.03850621 0.00169925 0.01683602 0.00992246 0.28266907
 0.2125893  0.01323152]"
1705619583.1379921,"[0.22987518 0.06274647 0.00116379 0.01636915 0.01939444 0.41094956
 0.24036536 0.01913605]"
1705619583.175039,"[0.28245935 0.07111796 0.00077462 0.00975603 0.02464914 0.44601485
 0.14726779 0.01796023]"
1705619583.2140474,"[0.30677965 0.0671953  0.0015274  0.01615182 0.02213758 0.3984192
 0.16544709 0.02234192]"
1705619583.251057,"[0.24285875 0.06277542 0.00155211 0.02414734 0.02036192 0.39874268
 0.22193429 0.0276275 ]"
1705619583.2910657,"[0.28810143 0.04444496 0.00247332 0.03171079 0.01366601 0.35750562
 0.23790187 0.02419595]"
1705619583.3280735,"[0.44416088 0.03299107 0.00124779 0.01376506 0.00810382 0.3266631
 0.16077924 0.01228907]"
1705619583.3740835,"[0.35756296 0.0639152  0.0013684  0.02349963 0.0157585  0.34460127
 0.16695087 0.02634315]"
1705619583.411092,"[0.32959932 0.04866159 0.00138282 0.0244438  0.01596707 0.3414799
 0.22081108 0.01765445]"
1705619583.450101,"[0.38577253 0.03822679 0.00327945 0.0263088  0.00960942 0.29745212
 0.21910301 0.02024785]"
1705619583.4901109,"[0.42963254 0.05227932 0.00127847 0.01548401 0.01627663 0.3307934
 0.13479649 0.01945906]"
1705619583.5281186,"[0.44812453 0.05461102 0.00164211 0.01408914 0.01454228 0.33736664
 0.11551841 0.01410591]"
1705619583.5701292,"[0.5153989  0.04644214 0.00476987 0.02092007 0.00804079 0.2608669
 0.12998424 0.01357709]"
1705619583.6091368,"[0.5388479  0.0433217  0.00550002 0.02152026 0.00638702 0.26488623
 0.10436398 0.01517285]"
